Pc [Pa];S_Hg
0.012470101;0
0.013986515;0.000233545
0.020892032;0.001369765
0.027806759;0.00249704
0.038172615;0.003409595
0.041626457;0.003695887
0.051971193;0.004814214
0.058878877;0.005243652
0.072629787;0.005708876
0.089876253;0.006138314
0.110450907;0.006576698
0.137963563;0.007015082
0.172302672;0.007310321
0.199537769;0.007269877
0.262160074;0.007278713
0.340026347;0.007285461
0.405332855;0.007318531
0.506130565;0.007454046
0.609606259;0.00753558
0.786030335;0.007632699
0.95564019;0.007728899
1.195960387;0.007817767
1.506416347;0.007902121
1.85804401;0.008001434
2.268878146;0.008057566
2.881472088;0.008135863
3.58176398;0.008203464
4.40169636;0.008297344
5.503654769;0.008385564
6.816720083;0.008514061
8.249771171;0.008653523
10.33073626;0.008772703
13.07870933;0.008965123
16.18914361;0.0091556
19.97822499;0.009361976
24.80525346;0.009657156
30.98417611;0.00994375
38.5793502;0.010276657
47.54075001;0.010669729
59.26225437;0.011193134
73.04011327;0.01180286
90.97267597;0.012552361
102.0163059;0.013172885
113.0330637;0.013762597
137.8498528;0.015262729
172.2650997;0.01882847
206.6780707;0.022860859
241.1519365;0.026260648
275.6335051;0.028688118
310.0580033;0.030314574
344.2613846;0.031553928