Pc.Pa;S.Hg
12056.4;0.00122
15162.4;0.00368
17630.0;0.00741
23693.0;0.00860
30708.0;0.01607
36799.0;0.01979
44633.0;0.02351
49752.0;0.02599
52522.0;0.03474
55439.0;0.05476
55449.0;0.05473
57820.0;0.06977
59569.0;0.09980
62089.0;0.16613
63563.0;0.22244
65092.0;0.25123
66585.0;0.37262
68232.0;0.34759
69833.0;0.42518
71069.0;0.47100
71085.0;0.45271
76355.0;0.54039
76802.0;0.54156
101289.0;0.60534
117732.0;0.63785
135188.0;0.67913
160014.0;0.70663
203630.0;0.73037
222870.0;0.74787
267020.0;0.76787
348080.0;0.79660
437710.0;0.80783
696280.0;0.83528
1148210.0;0.87899
1860000.0;0.90268
2352900.0;0.92016
3975500.0;0.94885
5214900.0;0.95882
7353000.0;0.98253
9821400.0;0.99375
11698800.0;0.99622
12884400.0;0.99620
15440700.0;0.99617
17108000.0;0.99865